Date,Unemployment_Rate,GDP_Growth,Inflation,Retail_Sales,Consumer_Spending,PC1,PC2,Cluster
2016-07-01,-0.509722860465215,0.1300780332947702,-0.21761115910988124,-0.18419500196908245,12756.7,-424.7333065715422,-0.26792029801123113,1
2016-10-01,-0.4666981876006244,0.010225512672166584,-0.1629794649397043,-0.14550423381645408,12867.0,-314.433304654365,-0.13140714654095115,1
2017-01-01,-0.5527475333298051,-0.024018064648577347,-0.1004528247217652,-0.053219650960017066,13063.7,-117.73326427994174,-0.0985459728201764,1
2017-04-01,-0.6818215519235757,0.027347301332538473,-0.08129841975356253,-0.04484588802277632,13169.2,-12.233241245988296,-0.16429124026060396,1
2017-07-01,-0.7248462247881662,0.1814433992758861,-0.07963281932154552,-0.0486041228880943,13263.3,81.86676255636827,-0.3150442378345182,1
2017-10-01,-0.7678708976527563,0.4211484405210933,-0.00025030273158759675,0.04921389793824636,13447.5,266.06681831032085,-0.5418813182824366,1
2018-01-01,-0.853920243381937,0.19856518793625796,0.07413541256231741,0.09751674143765574,13703.3,521.866830513206,-0.31706301295970185,1
2018-04-01,-0.853920243381937,-0.006896275988205382,0.11970624038231809,0.13277833676386494,13838.4,656.9668288179535,-0.10355462982924449,1
2018-07-01,-0.9399695891111175,0.0615908786532824,0.15258519291034484,0.19995029033591916,13974.8,793.3668644076228,-0.1768871386943539,1
2018-10-01,-0.9399695891111175,-0.2637231058937846,0.2044853023720122,0.2291069188878215,14083.1,901.6668597817899,0.15216174163217505,1
2019-01-01,-0.853920243381937,0.0615908786532824,0.19745646854889856,0.1822242378720807,14084.6,903.1668428471759,-0.1470876929557983,1
2019-04-01,-0.9829942619757076,0.21568697659662994,0.28646615563591765,0.2632427756599032,14290.0,1108.5669054210452,-0.3039312110464634,1
2019-07-01,-0.9829942619757076,0.45539201784183725,0.3054206885522773,0.338667258786446,14496.0,1314.5669229846822,-0.5230317556519886,1
2019-10-01,-1.026018934840298,0.11295624463439823,0.35049183624267216,0.3518383998697378,14617.4,1435.9669165149012,-0.1842216577921077,1
2020-01-01,-1.026018934840298,-1.3081522141764734,0.4088211633719287,0.40047030540804596,14844.3,1662.8668465894432,1.2257251224342698,1
2020-04-01,3.7927444259938112,-5.177676451420535,0.3162137793517506,-0.6135516865133125,12234.4,-947.0343133455432,5.772357966695093,1
2020-07-01,1.8136094742226587,5.660415770594911,0.392231783069034,0.4890832486725594,14303.8,1122.3667690030409,-5.08131136539995,1
2020-10-01,0.39379526969118067,0.3869048632003495,0.45355919097592134,0.6070866277271402,14726.0,1544.566763300342,-0.1700302895022978,1
2021-01-01,0.17867190536822938,0.5923663271248129,0.5291441385808772,0.791006328889556,15081.5,1900.0668553411413,-0.38674264449469525,1
2021-04-01,0.049597886774458325,0.7293406364077886,0.6701871831641266,1.242990358371749,15915.0,2733.5669758161594,-0.4873349313174383,0
2021-07-01,-0.25157482327767317,0.2328087652570019,0.8448087324568497,1.1558928323916378,16223.5,3042.066996217511,-0.020033295956169272,0
2021-10-01,-0.6387968790589856,0.9005585230115081,0.9927140508200103,1.3110282646777474,16694.0,3512.5671455625475,-0.7069170208192446,0
2022-01-01,-0.853920243381937,-0.5376717244597359,1.1911203742819425,1.4276894169947145,17017.8,3836.367171826398,0.6910699170829921,0
2022-04-01,-0.9829942619757076,-0.31508847187490047,1.4034511173555435,1.6806428701071647,17493.8,4312.367300491547,0.489770687242928,0
2022-07-01,-1.0690436077048882,0.09583445597402633,1.6104186270380463,1.6617824195618593,17744.0,4562.567368780206,0.10587055571222058,0
2022-10-01,-1.026018934840298,0.21568697659662994,1.7065570839741016,1.754274831074443,18096.2,4914.7673839836425,0.028721572202444916,0
2023-01-01,-1.0690436077048882,0.11295624463439823,1.7896039215144977,1.8588646022802275,18475.2,5293.7673999924245,0.1532392142833908,0
2023-04-01,-1.1120682805694784,0.04446908999291044,1.8787468566360777,1.7711609093863556,18638.7,5457.267384163009,0.23520483806787268,0
2023-07-01,-1.0690436077048882,0.3869048632003495,1.9319128224260789,1.8312840077041037,18850.5,5669.067404456473,-0.07262490823656687,0
2023-10-01,-0.8969449162465272,0.1814433992758861,2.02861758350902,1.9068297242133987,19069.5,5888.067389140584,0.18299988670356776,0
2024-01-01,-0.9829942619757076,-0.09250521929006514,2.1003716501203367,1.8744950491279209,19308.5,6127.067373392115,0.46021749700654124,0
2024-04-01,-0.8969449162465272,0.14719982195514214,2.2176965445516545,1.9355447168709894,19603.3,6421.867390725025,0.2721653517006555,0
2024-07-01,-0.7678708976527563,0.16432161061551412,2.228589571377049,2.0062930552342335,19866.3,6684.867360224336,0.3006020295184914,0
2024-10-01,-0.8108955705173468,0.027347301332538473,2.2925486279665246,2.0889222651071924,20134.5,6953.067375049634,0.44899511915788365,0
